FRAME,LOWER BODY,UPPER BODY,PCJ
1,2,2,0.333333333
2,2,1,0.25
3,2,1,0.25
4,1,1,0.166666667
5,2,1,0.25
6,2,1,0.25
7,6,3,0.75
8,5,2,0.583333333
9,6,1,0.583333333
10,5,2,0.583333333
11,5,2,0.583333333
12,3,4,0.583333333
13,3,6,0.75
14,1,2,0.25
15,3,2,0.4166666670000001
16,1,2,0.25
17,3,2,0.4166666670000001
18,5,3,0.666666667
19,4,2,0.5
20,6,3,0.75
21,4,3,0.583333333
22,6,4,0.833333333
23,6,4,0.833333333
24,6,4,0.833333333
25,6,3,0.75
26,6,4,0.833333333
27,6,3,0.75
28,6,3,0.75
29,6,5,0.916666667
30,6,5,0.916666667
31,6,4,0.833333333
32,6,5,0.916666667
33,6,4,0.833333333
34,6,4,0.833333333
35,6,3,0.75
36,6,1,0.583333333
37,6,1,0.583333333
38,6,1,0.583333333
39,6,2,0.666666667
40,6,2,0.666666667
41,6,3,0.75
42,6,1,0.583333333
43,6,1,0.583333333
44,5,0,0.4166666670000001
45,6,1,0.583333333
46,3,0,0.25
47,4,0,0.333333333
48,4,0,0.333333333
49,5,2,0.583333333
50,4,1,0.4166666670000001
51,5,2,0.583333333
52,4,1,0.4166666670000001
53,5,2,0.583333333
54,6,1,0.583333333
55,6,1,0.583333333
56,6,1,0.583333333
57,5,1,0.5
58,4,1,0.4166666670000001
59,4,1,0.4166666670000001
60,3,3,0.5
61,4,2,0.5
62,4,5,0.75
63,4,5,0.75
64,4,3,0.583333333
