FRAME,LOWER BODY,UPPER BODY,PCLJ
1,5,3,0.666666667
2,3,3,0.5
3,4,3,0.583333333
4,5,4,0.75
5,5,4,0.75
6,5,3,0.666666667
7,5,4,0.75
8,5,4,0.75
9,5,3,0.666666667
10,6,3,0.75
11,6,4,0.833333333
12,6,4,0.833333333
13,6,2,0.666666667
14,6,1,0.583333333
15,5,2,0.583333333
16,4,2,0.5
17,4,2,0.5
18,4,3,0.583333333
19,4,3,0.583333333
20,3,3,0.5
21,3,3,0.5
22,3,1,0.333333333
23,2,1,0.25
24,3,1,0.333333333
25,4,2,0.5
26,4,1,0.4166666670000001
27,3,1,0.333333333
28,2,1,0.25
29,2,1,0.25
30,3,1,0.333333333
31,4,3,0.583333333
32,1,1,0.166666667
33,2,0,0.166666667
34,2,0,0.166666667
35,4,0,0.333333333
36,1,0,0.083333333
37,2,0,0.166666667
38,1,0,0.083333333
39,2,1,0.25
40,0,1,0.083333333
41,1,0,0.083333333
42,4,2,0.5
43,5,1,0.5
44,5,0,0.4166666670000001
45,6,0,0.5
46,3,0,0.25
47,3,0,0.25
48,5,0,0.4166666670000001
49,6,0,0.5
50,5,1,0.5
51,5,1,0.5
52,4,2,0.5
53,3,2,0.4166666670000001
54,1,2,0.25
55,0,2,0.166666667
