FRAME,LOWER BODY,UPPER BODY,PCLJ
1,3,4,0.583333333
2,3,4,0.583333333
3,3,4,0.583333333
4,3,4,0.583333333
5,3,2,0.4166666670000001
6,3,3,0.5
7,3,3,0.5
8,3,3,0.5
9,3,3,0.5
10,3,3,0.5
11,3,4,0.583333333
12,3,4,0.583333333
13,3,4,0.583333333
14,2,4,0.5
15,2,4,0.5
16,2,4,0.5
17,2,5,0.583333333
18,2,5,0.583333333
19,2,5,0.583333333
20,2,3,0.4166666670000001
21,2,3,0.4166666670000001
22,2,2,0.333333333
23,2,2,0.333333333
24,2,2,0.333333333
25,2,3,0.4166666670000001
26,1,2,0.25
27,2,1,0.25
28,2,4,0.5
29,2,1,0.25
30,2,0,0.166666667
31,2,0,0.166666667
32,2,0,0.166666667
33,3,0,0.25
34,2,0,0.166666667
35,1,3,0.333333333
36,2,0,0.166666667
37,5,0,0.4166666670000001
38,5,0,0.4166666670000001
39,5,1,0.5
40,5,2,0.583333333
41,6,0,0.5
42,5,0,0.4166666670000001
43,4,0,0.333333333
44,5,0,0.4166666670000001
45,5,0,0.4166666670000001
46,6,1,0.583333333
47,5,0,0.4166666670000001
48,2,0,0.166666667
49,0,0,0.0
50,2,0,0.166666667
51,2,0,0.166666667
52,3,0,0.25
53,3,0,0.25
54,3,0,0.25
55,3,0,0.25
56,3,0,0.25
57,6,1,0.583333333
58,1,0,0.083333333
59,3,0,0.25
60,3,0,0.25
61,5,0,0.4166666670000001
62,6,1,0.583333333
63,3,1,0.333333333
64,6,4,0.833333333
65,6,4,0.833333333
66,2,3,0.4166666670000001
67,2,4,0.5
68,5,4,0.75
69,4,3,0.583333333
70,3,4,0.583333333
