FRAME,LOWER BODY,UPPER BODY,PCLJ
1,5,3,0.666666667
2,4,3,0.583333333
3,4,3,0.583333333
4,4,3,0.583333333
5,4,3,0.583333333
6,4,3,0.583333333
7,4,5,0.75
8,4,5,0.75
9,4,6,0.833333333
10,4,6,0.833333333
11,4,6,0.833333333
12,4,6,0.833333333
13,4,6,0.833333333
14,4,6,0.833333333
15,4,4,0.666666667
16,2,4,0.5
17,2,3,0.4166666670000001
18,2,4,0.5
19,2,5,0.583333333
20,2,4,0.5
21,2,2,0.333333333
22,0,1,0.083333333
23,0,1,0.083333333
24,0,1,0.083333333
25,0,0,0.0
26,0,0,0.0
27,0,0,0.0
28,0,0,0.0
29,4,5,0.75
30,2,3,0.4166666670000001
31,1,4,0.4166666670000001
32,6,6,1.0
33,4,5,0.75
34,5,4,0.75
35,6,3,0.75
36,3,3,0.5
37,6,4,0.833333333
38,1,1,0.166666667
39,1,1,0.166666667
40,3,3,0.5
41,0,5,0.4166666670000001
42,0,5,0.4166666670000001
43,0,5,0.4166666670000001
44,1,3,0.333333333
45,0,0,0.0
46,0,1,0.083333333
47,0,0,0.0
48,0,0,0.0
49,0,0,0.0
50,0,1,0.083333333
51,2,1,0.25
52,3,4,0.583333333
53,3,2,0.4166666670000001
54,2,2,0.333333333
55,2,0,0.166666667
56,3,0,0.25
57,3,1,0.333333333
58,6,0,0.5
59,6,1,0.583333333
60,6,2,0.666666667
61,6,2,0.666666667
62,6,2,0.666666667
63,4,1,0.4166666670000001
64,6,0,0.5
65,6,2,0.666666667
66,6,3,0.75
67,5,3,0.666666667
