FRAME,LOWER BODY,UPPER BODY,PCLJ
1,5,4,0.75
2,6,4,0.833333333
3,6,4,0.833333333
4,5,3,0.666666667
5,6,3,0.75
6,6,3,0.75
7,6,3,0.75
8,6,3,0.75
9,6,3,0.75
10,6,3,0.75
11,6,3,0.75
12,6,4,0.833333333
13,6,4,0.833333333
14,5,4,0.75
15,6,4,0.833333333
16,6,6,1
17,6,6,1
18,4,2,0.5
19,4,4,0.666666667
20,4,4,0.666666667
21,3,4,0.583333333
22,3,2,0.416666667
23,4,5,0.75
24,4,4,0.666666667
25,4,4,0.666666667
26,4,6,0.833333333
27,3,5,0.666666667
28,2,1,0.25
29,3,2,0.416666667
30,3,3,0.5
31,2,2,0.333333333
32,2,2,0.333333333
33,3,0,0.25
34,2,1,0.25
35,3,4,0.583333333
36,3,1,0.333333333
37,2,1,0.25
38,2,1,0.25
39,2,0,0.166666667
40,2,0,0.166666667
41,2,3,0.416666667
42,0,0,0
43,0,0,0
44,0,0,0
45,1,0,0.083333333
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,1,1,0.166666667
55,1,0,0.083333333
56,0,0,0
57,0,0,0
58,3,0,0.25
59,6,0,0.5
60,6,0,0.5
61,6,0,0.5
62,6,1,0.583333333
63,6,0,0.5
64,6,0,0.5
65,6,0,0.5
66,6,0,0.5
67,5,0,0.416666667
68,4,1,0.416666667
69,4,2,0.5
70,6,2,0.666666667
71,3,3,0.5
,,,
,,,
