FRAME,LOWER BODY,UPPER BODY,PCLJ
1,3,2,0.4166666670000001
2,4,3,0.583333333
3,4,3,0.583333333
4,4,3,0.583333333
5,4,3,0.583333333
6,2,1,0.25
7,5,3,0.666666667
8,5,4,0.75
9,4,3,0.583333333
10,6,3,0.75
11,5,3,0.666666667
12,6,4,0.833333333
13,6,4,0.833333333
14,6,4,0.833333333
15,5,1,0.5
16,6,3,0.75
17,6,3,0.75
18,6,4,0.833333333
19,6,4,0.833333333
20,6,5,0.916666667
21,6,5,0.916666667
22,6,5,0.916666667
23,6,5,0.916666667
24,6,4,0.833333333
25,6,3,0.75
26,5,1,0.5
27,2,2,0.333333333
28,1,0,0.083333333
29,2,0,0.166666667
30,6,2,0.666666667
31,4,2,0.5
32,3,1,0.333333333
33,3,2,0.4166666670000001
34,2,1,0.25
35,4,2,0.5
36,3,1,0.333333333
37,5,1,0.5
38,2,1,0.25
39,5,1,0.5
40,5,1,0.5
41,3,1,0.333333333
42,5,1,0.5
43,6,1,0.583333333
44,5,2,0.583333333
45,4,0,0.333333333
46,5,1,0.5
47,5,1,0.5
48,5,2,0.583333333
49,4,0,0.333333333
50,4,1,0.4166666670000001
51,4,0,0.333333333
52,4,0,0.333333333
53,0,0,0.0
54,3,0,0.25
55,0,0,0.0
56,0,0,0.0
