FRAME,LOWER BODY,UPPER BODY,PCJ
1,6,1,0.583333333
2,5,1,0.5
3,4,1,0.4166666670000001
4,6,2,0.666666667
5,6,3,0.75
6,5,1,0.5
7,6,2,0.666666667
8,5,1,0.5
9,5,2,0.583333333
10,6,2,0.666666667
11,6,2,0.666666667
12,6,1,0.583333333
13,6,2,0.666666667
14,6,2,0.666666667
15,6,2,0.666666667
16,5,2,0.583333333
17,5,3,0.666666667
18,6,2,0.666666667
19,5,3,0.666666667
20,6,4,0.833333333
21,6,3,0.75
22,6,3,0.75
23,6,3,0.75
24,6,4,0.833333333
25,6,4,0.833333333
26,6,4,0.833333333
27,6,3,0.75
28,5,3,0.666666667
29,2,1,0.25
30,4,3,0.583333333
31,6,3,0.75
32,6,3,0.75
33,4,3,0.583333333
34,4,3,0.583333333
35,6,1,0.583333333
36,5,2,0.583333333
37,6,3,0.75
38,3,1,0.333333333
39,3,2,0.4166666670000001
40,2,2,0.333333333
41,1,0,0.083333333
42,4,0,0.333333333
43,3,0,0.25
44,0,0,0.0
45,1,0,0.083333333
46,3,1,0.333333333
47,3,0,0.25
48,4,0,0.333333333
49,4,0,0.333333333
50,4,0,0.333333333
51,4,0,0.333333333
52,4,1,0.4166666670000001
53,4,0,0.333333333
54,3,0,0.25
55,5,0,0.4166666670000001
56,4,1,0.4166666670000001
57,3,0,0.25
58,5,0,0.4166666670000001
59,3,0,0.25
60,3,0,0.25
61,0,0,0.0
62,4,0,0.333333333
63,3,0,0.25
64,3,0,0.25
65,3,1,0.333333333
66,2,0,0.166666667
67,3,0,0.25
