FRAME,LOWER BODY,UPPER BODY,PCJ
1,5,2,0.583333333
2,5,2,0.583333333
3,4,2,0.5
4,5,3,0.666666667
5,5,3,0.666666667
6,4,1,0.4166666670000001
7,6,3,0.75
8,5,3,0.666666667
9,5,3,0.666666667
10,6,3,0.75
11,6,3,0.75
12,6,3,0.75
13,6,3,0.75
14,6,3,0.75
15,6,2,0.666666667
16,6,3,0.75
17,6,3,0.75
18,6,3,0.75
19,6,4,0.833333333
20,6,5,0.916666667
21,6,4,0.833333333
22,6,4,0.833333333
23,6,4,0.833333333
24,6,4,0.833333333
25,6,4,0.833333333
26,6,3,0.75
27,4,3,0.583333333
28,3,2,0.4166666670000001
29,2,1,0.25
30,5,3,0.666666667
31,5,3,0.666666667
32,5,2,0.583333333
33,4,3,0.583333333
34,3,2,0.4166666670000001
35,5,2,0.583333333
36,4,2,0.5
37,6,2,0.666666667
38,3,1,0.333333333
39,4,2,0.5
40,4,2,0.5
41,2,1,0.25
42,5,1,0.5
43,5,1,0.5
44,3,1,0.333333333
45,3,0,0.25
46,4,1,0.4166666670000001
47,4,1,0.4166666670000001
48,5,1,0.5
49,4,0,0.333333333
50,4,1,0.4166666670000001
51,4,0,0.333333333
52,4,1,0.4166666670000001
53,2,0,0.166666667
54,3,0,0.25
55,3,0,0.25
56,2,1,0.25
57,2,0,0.166666667
58,1,0,0.083333333
59,0,0,0.0
60,1,0,0.083333333
61,2,0,0.166666667
