FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,4,0.833333333
2,6,4,0.833333333
3,6,5,0.916666667
4,6,5,0.916666667
5,6,5,0.916666667
6,6,5,0.916666667
7,6,4,0.833333333
8,5,4,0.75
9,5,4,0.75
10,6,5,0.916666667
11,6,5,0.916666667
12,6,4,0.833333333
13,6,5,0.916666667
14,6,4,0.833333333
15,6,5,0.916666667
16,6,5,0.916666667
17,6,4,0.833333333
18,6,6,1.0
19,6,5,0.916666667
20,5,4,0.75
21,5,4,0.75
22,6,4,0.833333333
23,5,4,0.75
24,4,4,0.666666667
25,5,3,0.666666667
26,6,3,0.75
27,5,2,0.583333333
28,3,2,0.4166666670000001
29,5,2,0.583333333
30,3,2,0.4166666670000001
31,3,2,0.4166666670000001
32,2,1,0.25
33,2,1,0.25
34,2,0,0.166666667
35,3,0,0.25
36,2,0,0.166666667
37,2,1,0.25
38,2,2,0.333333333
39,2,1,0.25
40,2,0,0.166666667
41,2,0,0.166666667
42,2,0,0.166666667
43,3,0,0.25
44,3,1,0.333333333
45,4,3,0.583333333
46,4,5,0.75
47,6,3,0.75
48,2,2,0.333333333
49,5,1,0.5
50,5,0,0.4166666670000001
51,6,0,0.5
52,6,1,0.583333333
53,6,1,0.583333333
54,6,1,0.583333333
55,4,2,0.5
56,5,1,0.5
57,4,0,0.333333333
58,4,0,0.333333333
