FRAME,LOWER BODY,UPPER BODY,PCLJ
1,4,5,0.75
2,4,4,0.666666667
3,4,5,0.75
4,4,4,0.666666667
5,4,4,0.666666667
6,4,4,0.666666667
7,4,4,0.666666667
8,4,3,0.583333333
9,3,4,0.583333333
10,4,4,0.666666667
11,4,3,0.583333333
12,3,4,0.583333333
13,5,4,0.75
14,5,4,0.75
15,6,5,0.916666667
16,6,4,0.833333333
17,6,3,0.75
18,5,5,0.833333333
19,6,4,0.833333333
20,6,3,0.75
21,6,3,0.75
22,5,5,0.833333333
23,5,4,0.75
24,5,5,0.833333333
25,6,6,1
26,6,6,1
27,6,6,1
28,5,4,0.75
29,6,6,1
30,5,5,0.833333333
31,6,5,0.916666667
32,6,5,0.916666667
33,6,6,1
34,6,5,0.916666667
35,6,4,0.833333333
36,6,4,0.833333333
37,6,5,0.916666667
38,5,3,0.666666667
39,6,3,0.75
40,6,3,0.75
41,5,3,0.666666667
42,5,3,0.666666667
43,6,3,0.75
44,0,2,0.166666667
45,4,2,0.5
46,2,3,0.416666667
47,4,2,0.5
48,3,1,0.333333333
49,3,0,0.25
50,0,1,0.083333333
51,5,1,0.5
52,4,0,0.333333333
53,2,0,0.166666667
54,3,1,0.333333333
55,3,0,0.25
56,2,0,0.166666667
57,3,3,0.5
58,0,3,0.25
59,5,2,0.583333333
60,6,4,0.833333333
61,3,1,0.333333333
62,3,0,0.25
63,6,2,0.666666667
64,6,1,0.583333333
65,6,0,0.5
66,5,1,0.5
67,4,1,0.416666667
68,0,0,0
69,3,1,0.333333333
70,4,0,0.333333333
71,2,1,0.25
72,2,0,0.166666667
73,3,0,0.25
