FRAME,LOWER BODY,UPPER BODY,PCJ
1,4,4,0.666666667
2,5,3,0.666666667
3,6,5,0.916666667
4,6,4,0.833333333
5,6,6,1.0
6,6,5,0.916666667
7,4,5,0.75
8,2,4,0.5
9,1,3,0.333333333
10,3,2,0.4166666670000001
11,4,0,0.333333333
12,5,3,0.666666667
13,5,3,0.666666667
14,1,0,0.083333333
15,5,3,0.666666667
16,4,4,0.666666667
17,4,4,0.666666667
18,4,5,0.75
19,1,0,0.083333333
20,0,0,0.0
21,6,5,0.916666667
22,6,5,0.916666667
23,6,5,0.916666667
24,6,5,0.916666667
25,5,3,0.666666667
26,5,3,0.666666667
27,6,3,0.75
28,4,3,0.583333333
29,6,2,0.666666667
30,6,2,0.666666667
31,6,2,0.666666667
32,6,3,0.75
33,5,2,0.583333333
34,4,4,0.666666667
35,5,2,0.583333333
36,5,3,0.666666667
37,5,4,0.75
38,3,1,0.333333333
39,1,0,0.083333333
40,2,1,0.25
41,2,0,0.166666667
42,2,0,0.166666667
43,2,1,0.25
44,4,3,0.583333333
45,3,1,0.333333333
46,6,5,0.916666667
47,4,3,0.583333333
48,6,3,0.75
49,5,2,0.583333333
50,4,0,0.333333333
51,5,0,0.4166666670000001
52,0,0,0.0
53,2,0,0.166666667
54,4,0,0.333333333
55,2,0,0.166666667
56,0,0,0.0
57,0,0,0.0
58,3,0,0.25
