FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,3,0.75
2,6,4,0.833333333
3,6,4,0.833333333
4,6,4,0.833333333
5,6,4,0.833333333
6,6,4,0.833333333
7,6,4,0.833333333
8,6,4,0.833333333
9,6,4,0.833333333
10,6,4,0.833333333
11,6,4,0.833333333
12,6,4,0.833333333
13,6,4,0.833333333
14,6,4,0.833333333
15,6,3,0.75
16,5,3,0.666666667
17,5,4,0.75
18,5,4,0.75
19,5,4,0.75
20,6,4,0.833333333
21,6,4,0.833333333
22,5,3,0.666666667
23,6,2,0.666666667
24,6,4,0.833333333
25,5,2,0.583333333
26,5,2,0.583333333
27,4,0,0.333333333
28,4,1,0.4166666670000001
29,5,1,0.5
30,5,2,0.583333333
31,5,2,0.583333333
32,6,2,0.666666667
33,6,2,0.666666667
34,6,1,0.583333333
35,6,1,0.583333333
36,6,1,0.583333333
37,5,1,0.5
38,5,3,0.666666667
39,5,3,0.666666667
40,5,3,0.666666667
41,4,3,0.583333333
42,3,3,0.5
43,2,0,0.166666667
44,2,0,0.166666667
45,5,2,0.583333333
46,4,0,0.333333333
47,3,0,0.25
48,3,0,0.25
49,0,0,0.0
50,3,2,0.4166666670000001
51,6,2,0.666666667
52,6,0,0.5
53,6,1,0.583333333
54,4,0,0.333333333
55,3,0,0.25
56,3,0,0.25
57,3,0,0.25
58,3,0,0.25
59,3,1,0.333333333
