FRAME,LOWER BODY,UPPER BODY,PCLJ
1,5,4,0.75
2,5,4,0.75
3,4,3,0.583333333
4,4,4,0.666666667
5,5,4,0.75
6,4,4,0.666666667
7,4,4,0.666666667
8,3,4,0.583333333
9,5,4,0.75
10,5,4,0.75
11,5,4,0.75
12,5,4,0.75
13,5,4,0.75
14,6,4,0.833333333
15,5,4,0.75
16,5,4,0.75
17,5,4,0.75
18,5,3,0.666666667
19,4,2,0.5
20,5,2,0.583333333
21,6,1,0.583333333
22,6,0,0.5
23,6,3,0.75
24,6,3,0.75
25,6,2,0.666666667
26,6,1,0.583333333
27,6,1,0.583333333
28,6,2,0.666666667
29,6,2,0.666666667
30,6,2,0.666666667
31,6,1,0.583333333
32,6,1,0.583333333
33,6,2,0.666666667
34,5,0,0.4166666670000001
35,5,0,0.4166666670000001
36,4,0,0.333333333
37,4,0,0.333333333
38,3,0,0.25
39,3,0,0.25
40,3,0,0.25
41,3,0,0.25
42,1,0,0.083333333
43,0,0,0.0
44,1,0,0.083333333
45,2,0,0.166666667
46,3,0,0.25
47,4,0,0.333333333
48,5,0,0.4166666670000001
49,2,0,0.166666667
50,3,0,0.25
51,2,0,0.166666667
52,1,0,0.083333333
53,5,0,0.4166666670000001
54,4,0,0.333333333
55,4,0,0.333333333
56,0,0,0.0
57,4,0,0.333333333
58,2,0,0.166666667
59,2,0,0.166666667
60,2,0,0.166666667
