FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,4,0.833333333
2,6,4,0.833333333
3,6,4,0.833333333
4,6,3,0.75
5,6,3,0.75
6,6,3,0.75
7,5,4,0.75
8,5,3,0.666666667
9,5,3,0.666666667
10,5,3,0.666666667
11,5,3,0.666666667
12,5,4,0.75
13,5,4,0.75
14,5,3,0.666666667
15,5,3,0.666666667
16,6,3,0.75
17,6,4,0.833333333
18,5,4,0.75
19,6,3,0.75
20,6,3,0.75
21,5,2,0.583333333
22,6,2,0.666666667
23,5,3,0.666666667
24,6,2,0.666666667
25,5,3,0.666666667
26,6,2,0.666666667
27,6,2,0.666666667
28,6,2,0.666666667
29,6,2,0.666666667
30,6,2,0.666666667
31,6,0,0.5
32,6,0,0.5
33,6,0,0.5
34,5,1,0.5
35,6,0,0.5
36,6,1,0.583333333
37,2,0,0.166666667
38,4,0,0.333333333
39,0,0,0.0
40,1,0,0.083333333
41,1,0,0.083333333
42,2,0,0.166666667
43,5,0,0.4166666670000001
44,6,0,0.5
45,2,0,0.166666667
46,4,0,0.333333333
47,5,0,0.4166666670000001
48,5,0,0.4166666670000001
49,5,0,0.4166666670000001
50,2,0,0.166666667
51,6,1,0.583333333
52,0,0,0.0
53,1,0,0.083333333
54,3,0,0.25
55,1,0,0.083333333
56,0,0,0.0
57,1,0,0.083333333
