FRAME,LOWER BODY,UPPER BODY,PCLJ
1,4,2,0.5
2,4,3,0.583333333
3,4,2,0.5
4,4,3,0.583333333
5,4,2,0.5
6,3,2,0.416666667
7,5,3,0.666666667
8,5,3,0.666666667
9,6,3,0.75
10,6,3,0.75
11,6,3,0.75
12,5,3,0.666666667
13,6,2,0.666666667
14,6,3,0.75
15,6,3,0.75
16,6,1,0.583333333
17,4,1,0.416666667
18,5,1,0.5
19,5,1,0.5
20,3,1,0.333333333
21,3,2,0.416666667
22,5,2,0.583333333
23,5,2,0.583333333
24,3,2,0.416666667
25,5,2,0.583333333
26,4,2,0.5
27,3,0,0.25
28,4,0,0.333333333
29,4,1,0.416666667
30,4,1,0.416666667
31,5,2,0.583333333
32,5,2,0.583333333
33,4,2,0.5
34,5,1,0.5
35,5,0,0.416666667
36,5,0,0.416666667
37,4,0,0.333333333
38,2,0,0.166666667
39,5,0,0.416666667
40,3,0,0.25
41,2,0,0.166666667
42,2,2,0.333333333
43,1,1,0.166666667
44,0,0,0
45,1,1,0.166666667
46,0,0,0
47,0,0,0
48,2,0,0.166666667
49,5,0,0.416666667
50,1,0,0.083333333
51,6,1,0.583333333
52,6,0,0.5
53,3,0,0.25
54,3,0,0.25
55,3,0,0.25
56,0,0,0
57,4,0,0.333333333
58,5,0,0.416666667
59,3,0,0.25
60,1,0,0.083333333
61,3,0,0.25
62,2,0,0.166666667
63,2,0,0.166666667
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
