FRAME,LOWER BODY,UPPER BODY,PCJ
1,6,2,0.666666667
2,6,2,0.666666667
3,6,3,0.75
4,6,4,0.833333333
5,6,5,0.916666667
6,6,4,0.833333333
7,6,4,0.833333333
8,6,4,0.833333333
9,6,3,0.75
10,6,3,0.75
11,6,3,0.75
12,6,2,0.666666667
13,6,2,0.666666667
14,6,3,0.75
15,6,3,0.75
16,6,3,0.75
17,6,2,0.666666667
18,6,2,0.666666667
19,5,3,0.666666667
20,6,3,0.75
21,6,3,0.75
22,5,2,0.583333333
23,5,2,0.583333333
24,5,3,0.666666667
25,5,1,0.5
26,5,2,0.583333333
27,6,2,0.666666667
28,6,3,0.75
29,6,2,0.666666667
30,5,1,0.5
31,5,3,0.666666667
32,6,4,0.833333333
33,4,0,0.333333333
34,6,4,0.833333333
35,6,4,0.833333333
36,6,3,0.75
37,6,4,0.833333333
38,6,4,0.833333333
39,6,4,0.833333333
40,6,4,0.833333333
41,6,3,0.75
42,6,4,0.833333333
43,6,4,0.833333333
44,6,6,1.0
45,5,6,0.916666667
46,6,4,0.833333333
47,5,5,0.833333333
48,6,5,0.916666667
49,6,5,0.916666667
50,6,5,0.916666667
51,6,6,1.0
52,6,6,1.0
53,5,4,0.75
54,5,4,0.75
55,5,5,0.833333333
56,5,5,0.833333333
57,5,3,0.666666667
58,5,3,0.666666667
59,4,5,0.75
60,5,2,0.583333333
61,1,0,0.083333333
62,1,0,0.083333333
63,0,0,0.0
64,0,0,0.0
65,0,0,0.0
66,0,0,0.0
67,6,0,0.5
68,5,0,0.4166666670000001
69,4,0,0.333333333
70,0,0,0.0
71,0,2,0.166666667
72,1,0,0.083333333
73,0,0,0.0
74,0,0,0.0
75,1,4,0.4166666670000001
