FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,3,0.75
2,6,2,0.666666667
3,6,3,0.75
4,6,4,0.833333333
5,6,5,0.916666667
6,6,2,0.666666667
7,6,3,0.75
8,6,4,0.833333333
9,6,5,0.916666667
10,6,3,0.75
11,6,4,0.833333333
12,6,4,0.833333333
13,6,5,0.916666667
14,6,6,1
15,6,4,0.833333333
16,6,4,0.833333333
17,6,4,0.833333333
18,6,3,0.75
19,5,3,0.666666667
20,6,4,0.833333333
21,6,3,0.75
22,5,2,0.583333333
23,5,2,0.583333333
24,5,2,0.583333333
25,5,3,0.666666667
26,6,2,0.666666667
27,6,2,0.666666667
28,6,2,0.666666667
29,6,1,0.583333333
30,6,1,0.583333333
31,6,4,0.833333333
32,6,4,0.833333333
33,5,0,0.416666667
34,6,4,0.833333333
35,6,4,0.833333333
36,6,3,0.75
37,6,4,0.833333333
38,6,4,0.833333333
39,6,4,0.833333333
40,6,4,0.833333333
41,6,3,0.75
42,6,3,0.75
43,6,4,0.833333333
44,6,6,1
45,5,6,0.916666667
46,6,4,0.833333333
47,5,4,0.75
48,6,5,0.916666667
49,6,6,1
50,6,5,0.916666667
51,6,6,1
52,6,6,1
53,5,4,0.75
54,5,4,0.75
55,5,5,0.833333333
56,5,6,0.916666667
57,5,3,0.666666667
58,5,3,0.666666667
59,3,5,0.666666667
60,3,1,0.333333333
61,2,0,0.166666667
62,1,0,0.083333333
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,5,0,0.416666667
68,5,0,0.416666667
69,3,0,0.25
70,0,0,0
71,0,0,0
72,1,0,0.083333333
73,2,0,0.166666667
74,3,0,0.25
75,1,4,0.416666667
