FRAME,LOWER BODY,UPPER BODY,PCJ
1,6,5,0.916666667
2,6,5,0.916666667
3,6,5,0.916666667
4,6,5,0.916666667
5,6,5,0.916666667
6,6,5,0.916666667
7,6,5,0.916666667
8,6,4,0.833333333
9,6,3,0.75
10,5,3,0.666666667
11,6,3,0.75
12,6,3,0.75
13,6,3,0.75
14,6,3,0.75
15,5,3,0.666666667
16,6,4,0.833333333
17,6,3,0.75
18,6,3,0.75
19,6,3,0.75
20,6,3,0.75
21,6,3,0.75
22,6,3,0.75
23,6,3,0.75
24,6,4,0.833333333
25,6,4,0.833333333
26,6,3,0.75
27,6,3,0.75
28,6,4,0.833333333
29,6,4,0.833333333
30,6,3,0.75
31,6,4,0.833333333
32,6,4,0.833333333
33,6,4,0.833333333
34,6,4,0.833333333
35,6,3,0.75
36,6,3,0.75
37,6,4,0.833333333
38,6,6,1.0
39,6,6,1.0
40,6,4,0.833333333
41,6,6,1.0
42,6,6,1.0
43,6,6,1.0
44,6,6,1.0
45,6,5,0.916666667
46,6,6,1.0
47,6,3,0.75
48,2,0,0.166666667
49,4,6,0.833333333
50,1,0,0.083333333
51,0,0,0.0
52,5,4,0.75
53,3,2,0.4166666670000001
54,5,4,0.75
55,3,3,0.5
56,4,6,0.833333333
57,4,6,0.833333333
58,4,6,0.833333333
59,6,4,0.833333333
60,5,2,0.583333333
61,4,1,0.4166666670000001
62,0,0,0.0
63,0,0,0.0
64,0,0,0.0
65,6,1,0.583333333
66,2,0,0.166666667
67,0,0,0.0
68,0,3,0.25
69,0,1,0.083333333
70,0,0,0.0
