FRAME,LOWER BODY,UPPER BODY,PCJ
1,2,5,0.583333333
2,5,6,0.916666667
3,5,6,0.916666667
4,6,6,1.0
5,6,6,1.0
6,6,6,1.0
7,6,6,1.0
8,5,6,0.916666667
9,4,6,0.833333333
10,3,6,0.75
11,3,6,0.75
12,4,6,0.833333333
13,2,6,0.666666667
14,4,6,0.833333333
15,3,6,0.75
16,2,6,0.666666667
17,2,6,0.666666667
18,4,6,0.833333333
19,6,4,0.833333333
20,6,3,0.75
21,6,3,0.75
22,6,4,0.833333333
23,6,4,0.833333333
24,6,3,0.75
25,6,4,0.833333333
26,6,3,0.75
27,6,4,0.833333333
28,6,4,0.833333333
29,6,5,0.916666667
30,3,5,0.666666667
31,4,6,0.833333333
32,4,4,0.666666667
33,1,4,0.4166666670000001
34,2,4,0.5
35,3,4,0.583333333
36,3,4,0.583333333
37,3,4,0.583333333
38,4,4,0.666666667
39,3,4,0.583333333
40,3,4,0.583333333
41,3,2,0.4166666670000001
42,5,4,0.75
43,6,5,0.916666667
44,2,6,0.666666667
45,6,5,0.916666667
46,6,5,0.916666667
47,0,1,0.083333333
48,2,0,0.166666667
49,1,0,0.083333333
50,1,0,0.083333333
51,0,0,0.0
52,0,0,0.0
53,0,0,0.0
54,0,0,0.0
