FRAME,LOWER BODY,UPPER BODY,PCJ
1,3,6,0.75
2,2,5,0.583333333
3,1,4,0.4166666670000001
4,1,5,0.5
5,6,5,0.916666667
6,5,5,0.833333333
7,0,4,0.333333333
8,0,3,0.25
9,0,5,0.4166666670000001
10,3,4,0.583333333
11,0,3,0.25
12,6,6,1.0
13,0,5,0.4166666670000001
14,0,6,0.5
15,1,6,0.583333333
16,3,5,0.666666667
17,2,5,0.583333333
18,0,5,0.4166666670000001
19,2,6,0.666666667
20,5,6,0.916666667
21,5,6,0.916666667
22,6,5,0.916666667
23,5,6,0.916666667
24,5,4,0.75
25,5,3,0.666666667
26,6,6,1.0
27,6,3,0.75
28,6,3,0.75
29,6,2,0.666666667
30,5,2,0.583333333
31,5,2,0.583333333
32,6,2,0.666666667
33,5,3,0.666666667
34,5,2,0.583333333
35,5,5,0.833333333
36,5,5,0.833333333
37,6,5,0.916666667
38,6,4,0.833333333
39,2,5,0.583333333
40,3,4,0.583333333
41,1,4,0.4166666670000001
42,2,4,0.5
43,3,4,0.583333333
44,4,4,0.666666667
45,4,4,0.666666667
46,6,4,0.833333333
47,3,0,0.25
48,5,3,0.666666667
49,6,2,0.666666667
50,6,3,0.75
51,0,5,0.4166666670000001
52,6,0,0.5
53,0,0,0.0
54,0,0,0.0
55,0,0,0.0
56,0,0,0.0
57,1,0,0.083333333
58,2,0,0.166666667
59,2,0,0.166666667
60,2,0,0.166666667
61,2,0,0.166666667
62,1,0,0.083333333
