FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,4,0.833333333
2,6,4,0.833333333
3,6,4,0.833333333
4,6,2,0.666666667
5,6,3,0.75
6,6,3,0.75
7,5,3,0.666666667
8,5,2,0.583333333
9,6,3,0.75
10,6,2,0.666666667
11,6,2,0.666666667
12,6,2,0.666666667
13,6,3,0.75
14,6,4,0.833333333
15,6,3,0.75
16,6,4,0.833333333
17,6,4,0.833333333
18,5,4,0.75
19,5,4,0.75
20,6,4,0.833333333
21,6,4,0.833333333
22,6,4,0.833333333
23,6,4,0.833333333
24,6,4,0.833333333
25,6,4,0.833333333
26,6,4,0.833333333
27,6,4,0.833333333
28,6,3,0.75
29,6,4,0.833333333
30,6,4,0.833333333
31,6,4,0.833333333
32,6,4,0.833333333
33,6,4,0.833333333
34,6,4,0.833333333
35,6,4,0.833333333
36,6,4,0.833333333
37,6,4,0.833333333
38,6,4,0.833333333
39,6,3,0.75
40,6,4,0.833333333
41,6,4,0.833333333
42,6,4,0.833333333
43,6,4,0.833333333
44,6,4,0.833333333
45,6,4,0.833333333
46,6,3,0.75
47,6,3,0.75
48,6,5,0.916666667
49,6,4,0.833333333
50,6,5,0.916666667
51,6,4,0.833333333
52,6,4,0.833333333
53,6,4,0.833333333
54,6,4,0.833333333
55,6,5,0.916666667
56,6,5,0.916666667
57,6,4,0.833333333
58,6,6,1
59,6,6,1
60,5,4,0.75
61,4,6,0.833333333
62,4,5,0.75
63,4,4,0.666666667
64,6,4,0.833333333
65,6,6,1
66,6,6,1
67,6,6,1
68,6,3,0.75
69,6,1,0.583333333
70,6,1,0.583333333
71,3,1,0.333333333
72,6,3,0.75
73,5,1,0.5
74,5,0,0.416666667
75,3,1,0.333333333
76,3,1,0.333333333
