FRAME,LOWER BODY,UPPER BODY,PCLJ
1,5,4,0.75
2,6,4,0.833333333
3,6,4,0.833333333
4,5,4,0.75
5,6,4,0.833333333
6,6,4,0.833333333
7,6,4,0.833333333
8,6,4,0.833333333
9,6,4,0.833333333
10,6,4,0.833333333
11,6,4,0.833333333
12,6,3,0.75
13,6,3,0.75
14,6,4,0.833333333
15,6,3,0.75
16,6,4,0.833333333
17,6,4,0.833333333
18,6,4,0.833333333
19,6,4,0.833333333
20,5,4,0.75
21,5,4,0.75
22,6,4,0.833333333
23,5,4,0.75
24,5,4,0.75
25,5,4,0.75
26,5,4,0.75
27,5,4,0.75
28,5,4,0.75
29,5,4,0.75
30,6,4,0.833333333
31,5,4,0.75
32,5,4,0.75
33,5,4,0.75
34,5,4,0.75
35,5,4,0.75
36,6,4,0.833333333
37,6,4,0.833333333
38,6,4,0.833333333
39,6,3,0.75
40,6,3,0.75
41,6,3,0.75
42,6,2,0.666666667
43,4,3,0.583333333
44,4,3,0.583333333
45,5,4,0.75
46,4,5,0.75
47,6,5,0.916666667
48,6,4,0.833333333
49,6,3,0.75
50,6,6,1
51,5,3,0.666666667
52,5,4,0.75
53,5,4,0.75
54,5,4,0.75
55,6,4,0.833333333
56,6,4,0.833333333
57,6,4,0.833333333
58,6,6,1
59,6,5,0.916666667
60,6,6,1
61,6,2,0.666666667
62,6,3,0.75
63,5,3,0.666666667
64,6,5,0.916666667
65,6,5,0.916666667
66,5,5,0.833333333
67,4,3,0.583333333
68,4,4,0.666666667
69,3,1,0.333333333
70,3,1,0.333333333
71,2,0,0.166666667
72,4,0,0.333333333
73,3,0,0.25
74,2,0,0.166666667
75,3,0,0.25
76,3,0,0.25
77,3,0,0.25
