FRAME,LOWER BODY,UPPER BODY,PCJ
1,4,5,0.75
2,3,6,0.75
3,4,6,0.833333333
4,3,6,0.75
5,3,5,0.666666667
6,5,5,0.833333333
7,3,6,0.75
8,5,4,0.75
9,4,4,0.666666667
10,5,4,0.75
11,5,4,0.75
12,4,3,0.583333333
13,4,3,0.583333333
14,4,3,0.583333333
15,4,3,0.583333333
16,5,3,0.666666667
17,5,4,0.75
18,5,3,0.666666667
19,4,3,0.583333333
20,5,3,0.666666667
21,5,3,0.666666667
22,5,3,0.666666667
23,5,3,0.666666667
24,5,3,0.666666667
25,5,3,0.666666667
26,5,2,0.583333333
27,5,3,0.666666667
28,4,3,0.583333333
29,4,1,0.4166666670000001
30,5,2,0.583333333
31,5,2,0.583333333
32,5,2,0.583333333
33,3,2,0.4166666670000001
34,3,2,0.4166666670000001
35,6,2,0.666666667
36,6,3,0.75
37,6,3,0.75
38,5,1,0.5
39,6,2,0.666666667
40,3,2,0.4166666670000001
41,0,0,0.0
42,2,0,0.166666667
43,4,2,0.5
44,6,0,0.5
45,6,4,0.833333333
46,6,2,0.666666667
47,6,0,0.5
48,4,2,0.5
49,5,2,0.583333333
50,4,2,0.5
51,5,0,0.4166666670000001
52,5,1,0.5
53,4,1,0.4166666670000001
54,4,1,0.4166666670000001
55,3,0,0.25
56,3,0,0.25
57,4,1,0.4166666670000001
58,5,0,0.4166666670000001
59,5,1,0.5
60,6,1,0.583333333
61,4,0,0.333333333
62,6,2,0.666666667
63,6,1,0.583333333
64,6,2,0.666666667
65,6,2,0.666666667
66,5,2,0.583333333
67,5,2,0.583333333
68,6,3,0.75
69,5,5,0.833333333
70,4,4,0.666666667
71,3,1,0.333333333
