FRAME,LOWER BODY,UPPER BODY,PCJ
1,4,4,0.666666667
2,3,4,0.583333333
3,3,4,0.583333333
4,3,4,0.583333333
5,3,4,0.583333333
6,3,4,0.583333333
7,3,4,0.583333333
8,4,4,0.666666667
9,3,4,0.583333333
10,3,4,0.583333333
11,5,6,0.916666667
12,3,4,0.583333333
13,3,4,0.583333333
14,3,4,0.583333333
15,4,4,0.666666667
16,4,4,0.666666667
17,3,4,0.583333333
18,4,4,0.666666667
19,4,4,0.666666667
20,5,4,0.75
21,4,4,0.666666667
22,5,4,0.75
23,4,4,0.666666667
24,4,5,0.75
25,4,3,0.583333333
26,4,5,0.75
27,4,3,0.583333333
28,4,3,0.583333333
29,4,2,0.5
30,4,2,0.5
31,4,4,0.666666667
32,3,2,0.4166666670000001
33,3,2,0.4166666670000001
34,2,2,0.333333333
35,2,2,0.333333333
36,3,1,0.333333333
37,3,1,0.333333333
38,0,0,0.0
39,0,0,0.0
40,4,0,0.333333333
41,6,1,0.583333333
42,6,1,0.583333333
43,5,2,0.583333333
44,5,2,0.583333333
45,5,1,0.5
46,5,0,0.4166666670000001
47,6,0,0.5
48,5,0,0.4166666670000001
49,5,0,0.4166666670000001
50,4,0,0.333333333
51,4,1,0.4166666670000001
52,4,1,0.4166666670000001
53,6,1,0.583333333
54,6,0,0.5
55,5,0,0.4166666670000001
56,4,1,0.4166666670000001
57,0,0,0.0
58,6,1,0.583333333
59,6,2,0.666666667
60,5,1,0.5
61,6,1,0.583333333
62,5,0,0.4166666670000001
63,5,1,0.5
64,4,1,0.4166666670000001
65,4,1,0.4166666670000001
