FRAME,LOWER BODY,UPPER BODY,PCJ
1,2,1,0.25
2,2,1,0.25
3,2,1,0.25
4,2,1,0.25
5,2,2,0.333333333
6,2,2,0.333333333
7,3,2,0.4166666670000001
8,3,2,0.4166666670000001
9,2,2,0.333333333
10,2,2,0.333333333
11,3,1,0.333333333
12,3,2,0.4166666670000001
13,3,1,0.333333333
14,2,2,0.333333333
15,4,2,0.5
16,4,4,0.666666667
17,4,2,0.5
18,4,1,0.4166666670000001
19,3,1,0.333333333
20,3,2,0.4166666670000001
21,3,2,0.4166666670000001
22,2,1,0.25
23,2,1,0.25
24,4,2,0.5
25,4,2,0.5
26,4,2,0.5
27,4,1,0.4166666670000001
28,3,1,0.333333333
29,3,1,0.333333333
30,3,1,0.333333333
31,4,3,0.583333333
32,2,2,0.333333333
33,2,2,0.333333333
34,2,0,0.166666667
35,2,1,0.25
36,3,1,0.333333333
37,3,2,0.4166666670000001
38,3,1,0.333333333
39,2,1,0.25
40,4,1,0.4166666670000001
41,4,1,0.4166666670000001
42,3,1,0.333333333
43,3,2,0.4166666670000001
44,3,1,0.333333333
45,2,0,0.166666667
46,3,1,0.333333333
47,2,0,0.166666667
48,3,1,0.333333333
49,4,1,0.4166666670000001
50,6,2,0.666666667
51,6,1,0.583333333
52,4,1,0.4166666670000001
53,6,1,0.583333333
54,3,1,0.333333333
55,4,1,0.4166666670000001
56,4,0,0.333333333
57,4,1,0.4166666670000001
58,4,1,0.4166666670000001
59,4,0,0.333333333
60,4,1,0.4166666670000001
61,3,0,0.25
62,3,0,0.25
63,4,1,0.4166666670000001
64,3,0,0.25
65,0,0,0.0
66,1,0,0.083333333
67,0,0,0.0
68,6,1,0.583333333
69,2,0,0.166666667
70,2,0,0.166666667
71,2,0,0.166666667
72,0,0,0.0
73,0,0,0.0
74,0,0,0.0
75,1,1,0.166666667
