FRAME,LOWER BODY,UPPER BODY,PCJ
1,3,4,0.583333333
2,3,5,0.666666667
3,4,5,0.75
4,3,3,0.5
5,3,4,0.583333333
6,3,2,0.4166666670000001
7,4,3,0.583333333
8,3,3,0.5
9,3,3,0.5
10,3,3,0.5
11,4,3,0.583333333
12,3,4,0.583333333
13,2,3,0.4166666670000001
14,2,3,0.4166666670000001
15,2,2,0.333333333
16,2,3,0.4166666670000001
17,3,4,0.583333333
18,3,4,0.583333333
19,3,4,0.583333333
20,3,4,0.583333333
21,3,2,0.4166666670000001
22,3,3,0.5
23,3,4,0.583333333
24,3,3,0.5
25,3,2,0.4166666670000001
26,5,3,0.666666667
27,5,3,0.666666667
28,4,4,0.666666667
29,4,3,0.583333333
30,5,3,0.666666667
31,4,4,0.666666667
32,4,3,0.583333333
33,4,2,0.5
34,5,1,0.5
35,4,1,0.4166666670000001
36,4,1,0.4166666670000001
37,4,1,0.4166666670000001
38,3,1,0.333333333
39,4,1,0.4166666670000001
40,4,3,0.583333333
41,4,2,0.5
42,2,2,0.333333333
43,2,2,0.333333333
44,2,2,0.333333333
45,2,1,0.25
46,3,2,0.4166666670000001
47,3,1,0.333333333
48,6,2,0.666666667
49,5,2,0.583333333
50,2,1,0.25
51,3,1,0.333333333
52,4,1,0.4166666670000001
53,4,0,0.333333333
54,4,0,0.333333333
55,4,0,0.333333333
56,3,0,0.25
57,3,0,0.25
58,4,1,0.4166666670000001
59,5,0,0.4166666670000001
60,6,1,0.583333333
61,5,0,0.4166666670000001
62,6,1,0.583333333
63,6,0,0.5
64,6,0,0.5
65,6,1,0.583333333
66,5,0,0.4166666670000001
67,1,0,0.083333333
68,0,0,0.0
69,0,0,0.0
70,0,0,0.0
71,0,0,0.0
72,0,1,0.083333333
73,3,3,0.5
