FRAME,LOWER BODY,UPPER BODY,PCJ
1,6,3,0.75
2,5,5,0.833333333
3,4,4,0.666666667
4,0,2,0.166666667
5,2,1,0.25
6,4,1,0.4166666670000001
7,0,0,0.0
8,0,0,0.0
9,4,1,0.4166666670000001
10,6,2,0.666666667
11,6,4,0.833333333
12,1,1,0.166666667
13,0,0,0.0
14,4,0,0.333333333
15,5,1,0.5
16,0,0,0.0
17,6,3,0.75
18,6,3,0.75
19,6,3,0.75
20,4,3,0.583333333
21,4,1,0.4166666670000001
22,6,4,0.833333333
23,6,4,0.833333333
24,6,4,0.833333333
25,6,2,0.666666667
26,6,4,0.833333333
27,5,4,0.75
28,6,4,0.833333333
29,6,3,0.75
30,6,4,0.833333333
31,6,2,0.666666667
32,6,3,0.75
33,6,2,0.666666667
34,5,3,0.666666667
35,6,2,0.666666667
36,5,1,0.5
37,6,2,0.666666667
38,6,1,0.583333333
39,6,1,0.583333333
40,6,2,0.666666667
41,5,2,0.583333333
42,5,2,0.583333333
43,6,3,0.75
44,6,1,0.583333333
45,5,1,0.5
46,6,3,0.75
47,5,2,0.583333333
48,6,2,0.666666667
49,3,1,0.333333333
50,6,0,0.5
51,6,1,0.583333333
52,6,3,0.75
53,1,1,0.166666667
54,5,3,0.666666667
55,6,3,0.75
56,4,3,0.583333333
57,4,3,0.583333333
58,3,2,0.4166666670000001
59,5,1,0.5
60,5,0,0.4166666670000001
61,2,0,0.166666667
62,3,0,0.25
63,5,2,0.583333333
64,4,2,0.5
65,4,1,0.4166666670000001
66,3,0,0.25
67,3,0,0.25
68,6,0,0.5
69,3,1,0.333333333
70,6,1,0.583333333
71,3,1,0.333333333
72,2,0,0.166666667
73,1,0,0.083333333
74,1,0,0.083333333
