FRAME,LOWER BODY,UPPER BODY,PCJ
1,0,1,0.083333333
2,0,2,0.166666667
3,0,2,0.166666667
4,0,1,0.083333333
5,0,2,0.166666667
6,0,3,0.25
7,0,3,0.25
8,0,3,0.25
9,0,2,0.166666667
10,0,3,0.25
11,0,3,0.25
12,0,1,0.083333333
13,4,3,0.583333333
14,6,2,0.666666667
15,6,2,0.666666667
16,6,4,0.833333333
17,6,3,0.75
18,6,4,0.833333333
19,6,3,0.75
20,6,4,0.833333333
21,6,4,0.833333333
22,6,5,0.916666667
23,6,4,0.833333333
24,6,4,0.833333333
25,6,4,0.833333333
26,6,4,0.833333333
27,6,4,0.833333333
28,6,4,0.833333333
29,6,4,0.833333333
30,6,4,0.833333333
31,6,4,0.833333333
32,6,5,0.916666667
33,6,4,0.833333333
34,6,4,0.833333333
35,6,5,0.916666667
36,5,6,0.916666667
37,6,5,0.916666667
38,6,6,1.0
39,6,6,1.0
40,6,6,1.0
41,6,5,0.916666667
42,6,5,0.916666667
43,6,4,0.833333333
44,6,4,0.833333333
45,6,4,0.833333333
46,6,4,0.833333333
47,6,4,0.833333333
48,6,4,0.833333333
49,6,4,0.833333333
50,6,3,0.75
51,6,4,0.833333333
52,6,4,0.833333333
53,6,4,0.833333333
54,6,4,0.833333333
55,4,3,0.583333333
56,5,3,0.666666667
57,4,3,0.583333333
58,6,4,0.833333333
59,6,3,0.75
60,6,3,0.75
61,6,5,0.916666667
62,6,4,0.833333333
63,6,3,0.75
64,5,3,0.666666667
65,6,4,0.833333333
66,6,3,0.75
67,6,4,0.833333333
68,6,5,0.916666667
69,0,0,0.0
70,0,0,0.0
71,0,0,0.0
72,0,0,0.0
73,0,0,0.0
74,2,0,0.166666667
75,2,0,0.0
76,0,0,0.0
77,0,0,1.0
