FRAME,LOWER BODY,UPPER BODY,PCJ
1,3,1,0.333333333
2,3,3,0.5
3,2,4,0.5
4,6,6,1.0
5,0,1,0.083333333
6,1,3,0.333333333
7,6,3,0.75
8,0,3,0.25
9,0,0,0.0
10,0,3,0.25
11,0,2,0.166666667
12,6,2,0.666666667
13,0,0,0.0
14,6,3,0.75
15,6,3,0.75
16,6,3,0.75
17,6,4,0.833333333
18,6,3,0.75
19,1,0,0.083333333
20,5,4,0.75
21,6,4,0.833333333
22,6,3,0.75
23,6,4,0.833333333
24,6,5,0.916666667
25,6,5,0.916666667
26,6,6,1.0
27,6,5,0.916666667
28,4,4,0.666666667
29,0,2,0.166666667
30,6,4,0.833333333
31,6,5,0.916666667
32,6,5,0.916666667
33,6,5,0.916666667
34,6,5,0.916666667
35,6,5,0.916666667
36,6,6,1.0
37,6,6,1.0
38,6,5,0.916666667
39,6,5,0.916666667
40,6,5,0.916666667
41,5,4,0.75
42,6,4,0.833333333
43,6,4,0.833333333
44,4,2,0.5
45,6,2,0.666666667
46,6,4,0.833333333
47,6,3,0.75
48,6,4,0.833333333
49,6,4,0.833333333
50,6,4,0.833333333
51,6,4,0.833333333
52,6,3,0.75
53,6,4,0.833333333
54,5,4,0.75
55,6,3,0.75
56,5,4,0.75
57,1,4,0.4166666670000001
58,0,0,0.0
59,4,2,0.5
60,0,2,0.166666667
61,0,1,0.083333333
62,0,1,0.083333333
63,0,0,0.0
64,0,0,0.0
65,0,0,0.0
66,0,2,0.166666667
67,3,2,0.4166666670000001
68,0,0,0.0
69,0,0,0.0
70,0,0,0.0
71,0,0,0.0
72,0,0,0.0
73,0,0,0.0
74,5,0,0.4166666670000001
75,3,0,0.25
76,4,0,0.333333333
77,4,0,0.333333333
78,5,0,0.4166666670000001
79,2,0,0.166666667
