FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,3,0.75
2,6,5,0.916666667
3,6,6,1.0
4,5,6,0.916666667
5,5,6,0.916666667
6,5,5,0.833333333
7,6,5,0.916666667
8,5,5,0.833333333
9,6,6,1.0
10,6,6,1.0
11,5,4,0.75
12,5,5,0.833333333
13,5,4,0.75
14,5,4,0.75
15,6,4,0.833333333
16,6,6,1.0
17,6,5,0.916666667
18,6,5,0.916666667
19,6,5,0.916666667
20,6,4,0.833333333
21,6,4,0.833333333
22,5,4,0.75
23,5,4,0.75
24,5,5,0.833333333
25,6,4,0.833333333
26,6,4,0.833333333
27,6,4,0.833333333
28,6,6,1.0
29,6,6,1.0
30,6,4,0.833333333
31,6,4,0.833333333
32,6,5,0.916666667
33,6,5,0.916666667
34,6,5,0.916666667
35,6,6,1.0
36,6,5,0.916666667
37,6,4,0.833333333
38,4,4,0.666666667
39,4,4,0.666666667
40,6,5,0.916666667
41,4,5,0.75
42,3,3,0.5
43,6,3,0.75
44,5,3,0.666666667
45,4,3,0.583333333
46,6,3,0.75
47,6,4,0.833333333
48,4,4,0.666666667
49,5,3,0.666666667
50,6,4,0.833333333
51,6,4,0.833333333
52,6,4,0.833333333
53,5,4,0.75
54,6,4,0.833333333
55,6,4,0.833333333
56,6,4,0.833333333
57,6,4,0.833333333
58,6,4,0.833333333
59,6,4,0.833333333
60,5,4,0.75
61,6,2,0.666666667
62,6,2,0.666666667
63,0,0,0.0
64,3,0,0.25
65,0,0,0.0
66,0,0,0.0
67,0,0,0.0
68,4,4,0.666666667
69,4,4,0.666666667
70,0,0,0.0
71,0,2,0.166666667
72,2,0,0.166666667
73,0,0,0.0
74,0,0,0.0
75,0,1,0.083333333
76,0,0,0.0
77,0,0,0.0
78,1,0,0.083333333
79,0,0,0.0
80,1,0,0.083333333
81,0,0,0.0
82,0,0,0.0
83,2,1,0.25
