FRAME,LOWER BODY,UPPER BODY,PCLJ
1,3,4,0.583333333
2,3,4,0.583333333
3,3,4,0.583333333
4,3,3,0.5
5,3,3,0.5
6,3,3,0.5
7,3,2,0.416666667
8,3,3,0.5
9,3,4,0.583333333
10,3,3,0.5
11,3,4,0.583333333
12,3,3,0.5
13,3,3,0.5
14,3,1,0.333333333
15,3,3,0.5
16,3,4,0.583333333
17,3,1,0.333333333
18,3,1,0.333333333
19,4,1,0.416666667
20,4,1,0.416666667
21,3,3,0.5
22,3,3,0.5
23,3,2,0.416666667
24,3,2,0.416666667
25,6,3,0.75
26,3,3,0.5
27,3,2,0.416666667
28,3,1,0.333333333
29,3,2,0.416666667
30,2,1,0.25
31,3,2,0.416666667
32,3,2,0.416666667
33,3,3,0.5
34,3,1,0.333333333
35,2,4,0.5
36,2,1,0.25
37,0,0,0
38,0,0,0
39,0,0,0
40,0,1,0.083333333
41,2,2,0.333333333
42,4,2,0.5
43,3,1,0.333333333
44,4,1,0.416666667
45,5,1,0.5
46,5,3,0.666666667
47,5,1,0.5
48,6,2,0.666666667
49,6,0,0.5
50,6,1,0.583333333
51,5,2,0.583333333
52,6,1,0.583333333
53,5,2,0.583333333
54,4,1,0.416666667
55,6,1,0.583333333
56,6,1,0.583333333
57,5,1,0.5
58,4,1,0.416666667
59,4,0,0.333333333
60,4,0,0.333333333
61,4,0,0.333333333
62,6,1,0.583333333
63,6,1,0.583333333
64,3,1,0.333333333
65,4,3,0.583333333
66,5,2,0.583333333
67,6,1,0.583333333
68,6,2,0.666666667
69,6,2,0.666666667
70,5,2,0.583333333
71,4,1,0.416666667
72,5,2,0.583333333
73,4,4,0.666666667
74,3,2,0.416666667
75,2,0,0.166666667
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
