FRAME,LOWER BODY,UPPER BODY,PCLJ
1,5,0,0.4166666670000001
2,5,0,0.4166666670000001
3,5,0,0.4166666670000001
4,3,1,0.333333333
5,5,0,0.4166666670000001
6,3,1,0.333333333
7,3,4,0.583333333
8,3,4,0.583333333
9,3,5,0.666666667
10,3,3,0.5
11,3,2,0.4166666670000001
12,3,1,0.333333333
13,3,1,0.333333333
14,5,1,0.5
15,5,2,0.583333333
16,5,2,0.583333333
17,2,1,0.25
18,2,1,0.25
19,4,1,0.4166666670000001
20,3,1,0.333333333
21,4,2,0.5
22,3,1,0.333333333
23,3,1,0.333333333
24,4,1,0.4166666670000001
25,5,1,0.5
26,5,2,0.583333333
27,5,1,0.5
28,4,1,0.4166666670000001
29,5,1,0.5
30,5,1,0.5
31,4,1,0.4166666670000001
32,5,2,0.583333333
33,5,2,0.583333333
34,0,0,0.0
35,0,0,0.0
36,4,1,0.4166666670000001
37,0,0,0.0
38,0,0,0.0
39,4,3,0.583333333
40,5,1,0.5
41,4,0,0.333333333
42,5,0,0.4166666670000001
43,4,0,0.333333333
44,4,1,0.4166666670000001
45,4,1,0.4166666670000001
46,5,1,0.5
47,6,1,0.583333333
48,5,0,0.4166666670000001
49,5,0,0.4166666670000001
50,4,1,0.4166666670000001
51,5,1,0.5
52,4,1,0.4166666670000001
53,3,1,0.333333333
54,4,0,0.333333333
55,3,1,0.333333333
56,4,1,0.4166666670000001
57,4,0,0.333333333
58,4,0,0.333333333
59,4,1,0.4166666670000001
60,4,0,0.333333333
61,3,0,0.25
62,6,2,0.666666667
63,5,1,0.5
64,6,0,0.5
65,5,2,0.583333333
66,5,2,0.583333333
67,6,2,0.666666667
68,5,1,0.5
69,4,2,0.5
70,3,1,0.333333333
71,3,1,0.333333333
