FRAME,LOWER BODY,UPPER BODY,PCJ
1,1,3,0.333333333
2,1,2,0.25
3,2,3,0.4166666670000001
4,1,3,0.333333333
5,0,3,0.25
6,1,3,0.333333333
7,1,2,0.25
8,0,3,0.25
9,1,2,0.25
10,1,2,0.25
11,1,2,0.25
12,1,2,0.25
13,1,2,0.25
14,1,1,0.166666667
15,1,2,0.25
16,2,2,0.333333333
17,2,2,0.333333333
18,2,1,0.25
19,2,2,0.333333333
20,2,2,0.333333333
21,1,1,0.166666667
22,1,1,0.166666667
23,1,2,0.25
24,2,0,0.166666667
25,4,1,0.4166666670000001
26,2,1,0.25
27,2,1,0.25
28,3,0,0.25
29,2,1,0.25
30,6,2,0.666666667
31,2,2,0.333333333
32,2,1,0.25
33,2,1,0.25
34,3,1,0.333333333
35,2,0,0.166666667
36,1,0,0.083333333
37,2,0,0.166666667
38,2,0,0.166666667
39,5,0,0.4166666670000001
40,3,0,0.25
41,4,0,0.333333333
42,2,0,0.166666667
43,3,0,0.25
44,4,0,0.333333333
45,3,0,0.25
46,3,0,0.25
47,3,0,0.25
48,3,2,0.4166666670000001
49,2,0,0.166666667
50,1,1,0.166666667
51,2,1,0.25
52,5,1,0.5
53,6,1,0.583333333
54,5,1,0.5
55,6,1,0.583333333
56,2,0,0.166666667
57,6,0,0.5
58,5,4,0.75
59,5,1,0.5
60,4,1,0.4166666670000001
61,3,0,0.25
62,6,2,0.666666667
63,5,3,0.666666667
64,3,3,0.5
65,3,3,0.5
66,3,1,0.333333333
