FRAME,LOWER BODY,UPPER BODY,PCJ
1,0,4,0.333333333
2,0,3,0.25
3,0,1,0.083333333
4,0,2,0.166666667
5,0,2,0.166666667
6,0,1,0.083333333
7,0,2,0.166666667
8,0,3,0.25
9,0,2,0.166666667
10,0,2,0.166666667
11,0,2,0.166666667
12,0,1,0.083333333
13,0,1,0.083333333
14,0,2,0.166666667
15,0,2,0.166666667
16,0,3,0.25
17,0,3,0.25
18,2,3,0.4166666670000001
19,2,3,0.4166666670000001
20,2,2,0.333333333
21,2,2,0.333333333
22,2,2,0.333333333
23,2,3,0.4166666670000001
24,2,2,0.333333333
25,2,2,0.333333333
26,2,1,0.25
27,2,1,0.25
28,3,1,0.333333333
29,2,1,0.25
30,3,2,0.4166666670000001
31,3,2,0.4166666670000001
32,3,1,0.333333333
33,2,1,0.25
34,1,1,0.166666667
35,4,1,0.4166666670000001
36,2,1,0.25
37,2,0,0.166666667
38,4,0,0.333333333
39,4,0,0.333333333
40,4,0,0.333333333
41,3,0,0.25
42,3,0,0.25
43,3,0,0.25
44,4,1,0.4166666670000001
45,3,1,0.333333333
46,3,1,0.333333333
47,4,0,0.333333333
48,5,0,0.4166666670000001
49,4,0,0.333333333
50,6,1,0.583333333
51,4,1,0.4166666670000001
52,4,1,0.4166666670000001
53,3,1,0.333333333
54,4,0,0.333333333
55,4,0,0.333333333
56,5,2,0.583333333
57,4,0,0.333333333
58,4,2,0.5
59,5,0,0.4166666670000001
60,6,0,0.5
61,6,0,0.5
62,6,0,0.5
63,6,1,0.583333333
64,6,1,0.583333333
65,6,0,0.5
66,4,0,0.333333333
67,3,0,0.25
68,6,1,0.583333333
69,3,1,0.333333333
70,3,1,0.333333333
71,3,0,0.25
72,3,1,0.333333333
73,3,0,0.25
