FRAME,LOWER BODY,UPPER BODY,PCLJ
1,4,2,0.5
2,4,3,0.583333333
3,4,4,0.666666667
4,4,4,0.666666667
5,4,4,0.666666667
6,4,4,0.666666667
7,4,3,0.583333333
8,4,4,0.666666667
9,4,4,0.666666667
10,4,0,0.333333333
11,4,2,0.5
12,4,0,0.333333333
13,0,0,0.0
14,0,0,0.0
15,2,0,0.166666667
16,0,0,0.0
17,0,0,0.0
18,3,0,0.25
19,0,0,0.0
20,0,0,0.0
21,0,0,0.0
22,0,0,0.0
23,0,0,0.0
24,1,0,0.083333333
25,4,0,0.333333333
26,2,0,0.166666667
27,0,0,0.0
28,5,1,0.5
29,4,0,0.333333333
30,4,0,0.333333333
31,3,0,0.25
32,0,0,0.0
33,1,0,0.083333333
34,0,0,0.0
35,0,0,0.0
36,0,0,0.0
37,2,0,0.166666667
38,2,0,0.166666667
39,1,0,0.083333333
40,2,0,0.166666667
41,0,0,0.0
42,3,2,0.4166666670000001
43,3,0,0.25
44,3,0,0.25
45,2,0,0.166666667
46,5,0,0.4166666670000001
47,2,0,0.166666667
48,4,0,0.333333333
49,2,0,0.166666667
50,1,1,0.166666667
51,4,0,0.333333333
52,0,0,0.0
53,2,0,0.166666667
54,0,0,0.0
55,2,0,0.166666667
56,0,0,0.0
