FRAME,LOWER BODY,UPPER BODY,PCLJ
1,0,0,0
2,3,0,0.25
3,0,0,0
4,2,1,0.25
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,4,1,0.416666667
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,3,3,0.5
23,4,1,0.416666667
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,3,1,0.333333333
36,5,2,0.583333333
37,6,1,0.583333333
38,6,1,0.583333333
39,6,0,0.5
40,6,1,0.583333333
41,6,0,0.5
42,5,0,0.416666667
43,2,0,0.166666667
44,4,2,0.5
45,5,2,0.583333333
46,4,2,0.5
47,1,2,0.25
48,3,0,0.25
49,5,1,0.5
50,5,2,0.583333333
51,3,0,0.25
52,5,0,0.416666667
53,0,0,0
54,4,3,0.583333333
55,2,0,0.166666667
56,3,0,0.25
57,3,0,0.25
58,6,0,0.5
59,6,0,0.5
60,6,1,0.583333333
61,0,0,0
62,0,0,0
63,2,0,0.166666667
64,0,0,0
65,3,1,0.333333333
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
