FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,4,0.833333333
2,6,4,0.833333333
3,6,4,0.833333333
4,6,4,0.833333333
5,6,4,0.833333333
6,6,4,0.833333333
7,6,4,0.833333333
8,6,4,0.833333333
9,6,4,0.833333333
10,6,4,0.833333333
11,6,4,0.833333333
12,6,4,0.833333333
13,6,5,0.916666667
14,6,5,0.916666667
15,6,4,0.833333333
16,6,4,0.833333333
17,6,1,0.583333333
18,6,4,0.833333333
19,6,4,0.833333333
20,6,4,0.833333333
21,6,4,0.833333333
22,6,4,0.833333333
23,6,4,0.833333333
24,6,4,0.833333333
25,6,4,0.833333333
26,6,4,0.833333333
27,6,4,0.833333333
28,6,4,0.833333333
29,6,4,0.833333333
30,6,4,0.833333333
31,6,4,0.833333333
32,6,4,0.833333333
33,6,3,0.75
34,6,3,0.75
35,6,2,0.666666667
36,6,2,0.666666667
37,6,2,0.666666667
38,6,2,0.666666667
39,6,3,0.75
40,6,2,0.666666667
41,6,3,0.75
42,6,3,0.75
43,6,3,0.75
44,6,4,0.833333333
45,6,3,0.75
46,6,3,0.75
47,6,3,0.75
48,6,3,0.75
49,6,3,0.75
50,6,3,0.75
51,6,3,0.75
52,5,3,0.666666667
53,3,2,0.4166666670000001
54,3,1,0.333333333
55,2,1,0.25
56,2,3,0.4166666670000001
57,2,0,0.166666667
58,2,0,0.166666667
59,0,1,0.083333333
60,0,1,0.083333333
61,1,0,0.083333333
62,1,0,0.083333333
63,4,4,0.666666667
64,6,4,0.833333333
65,6,2,0.666666667
66,1,0,0.083333333
67,1,1,0.166666667
68,0,0,0.0
69,1,0,0.083333333
70,0,0,0.0
71,1,0,0.083333333
72,1,0,0.083333333
73,3,0,0.25
74,1,1,0.166666667
