FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,6,1
2,6,4,0.833333333
3,6,5,0.916666667
4,6,4,0.833333333
5,6,4,0.833333333
6,6,4,0.833333333
7,6,4,0.833333333
8,6,4,0.833333333
9,6,3,0.75
10,6,4,0.833333333
11,6,4,0.833333333
12,6,4,0.833333333
13,6,3,0.75
14,6,3,0.75
15,5,4,0.75
16,6,3,0.75
17,6,3,0.75
18,6,4,0.833333333
19,6,4,0.833333333
20,6,4,0.833333333
21,6,3,0.75
22,5,4,0.75
23,5,3,0.666666667
24,6,3,0.75
25,6,3,0.75
26,5,4,0.75
27,6,4,0.833333333
28,6,4,0.833333333
29,6,3,0.75
30,6,2,0.666666667
31,6,3,0.75
32,6,2,0.666666667
33,6,3,0.75
34,6,4,0.833333333
35,6,3,0.75
36,6,2,0.666666667
37,6,3,0.75
38,6,4,0.833333333
39,6,4,0.833333333
40,5,4,0.75
41,6,3,0.75
42,6,2,0.666666667
43,6,3,0.75
44,6,2,0.666666667
45,6,2,0.666666667
46,6,3,0.75
47,6,4,0.833333333
48,6,3,0.75
49,6,2,0.666666667
50,6,3,0.75
51,6,4,0.833333333
52,6,3,0.75
53,6,3,0.75
54,6,3,0.75
55,6,3,0.75
56,6,3,0.75
57,4,2,0.5
58,4,3,0.583333333
59,3,2,0.416666667
60,3,2,0.416666667
61,3,1,0.333333333
62,5,2,0.583333333
63,3,1,0.333333333
64,2,3,0.416666667
65,3,2,0.416666667
66,4,3,0.583333333
67,4,2,0.5
68,4,2,0.5
69,4,2,0.5
70,2,1,0.25
71,2,2,0.333333333
72,3,1,0.333333333
73,6,3,0.75
74,6,5,0.916666667
75,2,1,0.25
76,0,0,0
77,0,1,0.083333333
78,2,1,0.25
79,2,0,0.166666667
80,1,0,0.083333333
81,1,0,0.083333333
82,2,0,0.166666667
83,2,0,0.166666667
84,0,1,0.083333333
85,0,0,0
86,0,0,0
87,1,0,0.083333333
